Name,Field,State,Country,Year
Subbiah Murugappa Vellayan,Trade and Industry,Tamil Nadu,India,2012
Balasubramanian Muthuraman,Trade and Industry,Maharashtra,India,2012
Suresh H. Advani,Medicine â€“ Oncology,Maharashtra,India,2012
N H Wadia,Medicine-Neurology,Maharashtra,India,2012
Devi Prasad Shetty,Medicine-Cardiology,Karnataka,India,2012
Shantaram Balwant Mujumdar,Literature and Education,Maharashtra,India,2012
Vidya Dehejia,Literature and Education,,USA*,2012
Arvind Panagariya,Literature and Education,,USA*,2012
Jose Pereira,Literature and Education,,USA*,2012
Homi K. Bhabha,Literature and Education,,UK *,2012
N Vittal,Civil Service,Kerala,India,2012
Mata Prasad,Civil Service,Uttar Pradesh,India,2012
Ronen Sen,Civil Service,West Bengal,India,2012
Name,Field,State,Country,
Rahul Dravid,Sports â€“ Cricket,Karnataka,India,2013
Mary Kom,Sports â€“ Boxing,Manipur,India,2013
Ramanaidu Daggubati,Art â€“ Cinema,Andhra Pradesh,India,2013
Rajesh Khannaâ€ ,Art â€“ Cinema,Maharashtra,India,2013
Sharmila Tagore,Art â€“ Cinema,Delhi,India,2013
Kanak Rele,Art â€“ Dancer,Maharashtra,India,2013
Saroja Vaidyanathan,Art â€“ Dancer,Delhi,India,2013
Sreeramamurthy Janaki (declined the award),Art â€“ Singer,Andhra Pradesh,India,2013
Abdul Rashid Khan,Art â€“ Singer,West Bengal,India,2013
Jaspal Singh Bhattiâ€ ,Art â€“ Comedian,Punjab,India,2013
Shivajirao Girdhar Patil,Public Affairs,Maharashtra,India,2013
Apathukatha Sivathanu Pillai,Science,Delhi,India,2013
Vijay Kumar Saraswat,Science â€“ Defence Research,Delhi,India,2013
Ashoke Sen,Science â€“ Physics,Uttar Pradesh,India,2013
B. N. Suresh,Science â€“ Aerospace,Karnataka,India,2013
Satya N. Atluri*,Science â€“ Aerospace,,USA,2013
Jogesh Chandra Pati*,Science â€“ Physics,,USA,2013
Ramamurthy Thyagarajan,Trade â€“ Industry,Tamil Nadu,India,2013
Adi Burjor Godrej,Trade â€“ Industry,Maharashtra,India,2013
Nandkishore Shamrao Laud,Medicine,Maharashtra,India,2013
Mangesh Padgaonkar,Literature & Education,Maharashtra,India,2013
Gayatri Chakravorty Spivak*,Literature & Education,,USA,2013
Hemendra Singh Panwar,Civil Service,Madhya Pradesh,India,2013
Maharaj Kishan Bhan,Civil Service,Delhi,India,2013
Name,Field,State,Country,
Ghulam Mohammed Sheikh,Art-Painting,Gujarat,India,2014
Begum Parveen Sultana,Art-Classical Singing,Maharashtra,India,2014
