Recipient,Field,State,,Year
"Abdullah, SheikhSheikh Abdullah",Literature & Education,Uttar Pradesh,,1964
"Ahmed, NuruddinNuruddin Ahmed",Public Affairs,Delhi,,1964
"Ahmed, RafiuddinRafiuddin Ahmed",Medicine,West Bengal,,1964
"Chandy, JacobJacob Chandy",Medicine,Kerala,,1964
"Dubey, Kunji LalKunji Lal Dubey",Public Affairs,Madhya Pradesh,,1964
"Ghosh, Tushar KantiTushar Kanti Ghosh",Literature & Education,West Bengal,,1964
"Guha, Anil BandhuAnil Bandhu Guha",Civil Service,West Bengal,,1964
"Hai, Mohd. AbdulMohd. Abdul Hai",Medicine,Bihar,,1964
"Khurody, Dara NusurwanjiDara Nusurwanji Khurody",Trade & Industry,Madhya Pradesh,,1964
"Mukherjee, Anukul ChandraAnukul Chandra Mukherjee",Literature & Education,Uttar Pradesh,,1964
"Mukherjee, Jananendra NathJananendra Nath Mukherjee",Science & Engineering,West Bengal,,1964
"Mullik, Bhole NathBhole Nath Mullik",Civil Service,Delhi,,1964
"Narayan, R. K.R. K. Narayan",Literature & Education,Karnataka,,1964
"Pandit, Chintaman GovindChintaman Govind Pandit",Medicine,Maharashtra,,1964
"Patel, Tribhuvandas KishibhaiTribhuvandas Kishibhai Patel",Social Work,Gujarat,,1964
"Rajhans (Bal Gandharva), N. S.N. S. Rajhans (Bal Gandharva)",Arts,Maharashtra,,1964
"Ramahandran, T. NarayanayajwaT. Narayanayajwa Ramahandran",Science & Engineering,Tamil Nadu,,1964
"Wig, Khushwant LalKhushwant Lal Wig",Medicine,Punjab,,1964
Recipient,Field,State,,
"Iyer, Krishnaswami BalasubramanaiKrishnaswami Balasubramanai Iyer",Public Affairs,Tamil Nadu,,1965
"Banerjee, Jogesh ChandraJogesh Chandra Banerjee",Medicine,West Bengal,,1965
"Dhillon, Joginder SinghJoginder Singh Dhillon",Civil Service,Punjab,,1965
"Patwardhan, AppasahebAppasaheb Patwardhan",Public Affairs,Maharashtra,,1965
"Dikshit, Bhalchandra BabajiBhalchandra Babaji Dikshit",Medicine,Maharashtra,,1965
"Dunn, O. P.O. P. Dunn",Civil Service,Maharashtra,,1965
"Godbole, Narasinh NarayanNarasinh Narayan Godbole",Literature & Education,Maharashtra,,1965
"Gombu, NawangNawang Gombu",Sports,West Bengal,,1965
"Gyatso, SonamSonam Gyatso",Sports,Sikkim,,1965
"Katoch, Kashmir SinghKashmir Singh Katoch",Civil Service,Punjab,,1965
"Khan, Akbar AliAkbar Ali Khan",Public Affairs,Andhra Pradesh,,1965
"Kirloskar, Shantanu LakshmanShantanu Lakshman Kirloskar",Trade & Industry,Maharashtra,,1965
"Kohli, Mohan SinghMohan Singh Kohli",Sports,Delhi,,1965
"Lal, Pratap ChandraPratap Chandra Lal",Civil Service,Punjab,,1965
"Mujeeb, MohammadMohammad Mujeeb",Literature & Education,Delhi,,1965
"Narlikar, JayantJayant Narlikar",Science & Engineering,Maharashtra,,1965
"Rajaram, RamaswamyRamaswamy Rajaram",Civil Service,Tamil Nadu,,1965
"Ramanathan, K. R.K. R. Ramanathan",Science & Engineering,Tamil Nadu,,1965
"Ray, SatyajitSatyajit Ray",Arts,West Bengal,,1965
"Sen, TrigunaTriguna Sen",Literature & Education,West Bengal,,1965
"Shahaney, Santu JavharmalSantu Javharmal Shahaney",Civil Service,West Bengal,,1965
"Sharma, ShivShiv Sharma",Medicine,Uttar Pradesh,,1965
"Singh, HarbakshHarbaksh Singh",Civil Service,Delhi,,1965
"Verma, Manikya LalManikya Lal Verma",Social Work,Rajasthan,,1965
"Verma, Vrindavan LalVrindavan Lal Verma",Literature & Education,Uttar Pradesh,,1965
Recipient,Field,State,,
"Aiyer, T. S. RamaswamiT. S. Ramaswami Aiyer",Public Affairs,Tamil Nadu,,1966
"Chinai, Babubhai ManeklalBabubhai Maneklal Chinai",Trade & Industry,Maharashtra,,1966
"Duraiswami, Puliyur KrishnaswamyPuliyur Krishnaswamy Duraiswami",Medicine,Delhi,,1966
"Kurien, VergheseVerghese Kurien",Trade & Industry,Gujarat,,1966
"Mehta, ZubinZubin Mehta",Arts,â€“,,1966
"Menon, K. P. KesavaK. P. Kesava Menon",Public Affairs,Kerala,,1966
"Mukharji, Bhabani CharanBhabani Charan Mukharji",Civil Service,West Bengal,,1966
"Pillai, Mannathu PadmanabhaMannathu Padmanabha Pillai",Social Work,Kerala,,1966
"Pillai, K. ShankarK. Shankar Pillai",Arts,Delhi,,1966
"Sarabhai, VikramVikram Sarabhai",Science & Engineering,Gujarat,,1966
"Sarwate, Vinayak SitaramVinayak Sitaram Sarwate",Literature & Education,Madhya Pradesh,,1966
"Sethna, HomiHomi Sethna",Civil Service,Maharashtra,,1966
"Singh, JodhJodh Singh",Literature & Education,Punjab,,1966
"Upadhyaya, HaribhauHaribhau Upadhyaya",Literature & Education,Uttar Pradesh,,1966
Recipient,Field,State,,
"Anand, Mulk RajMulk Raj Anand",Literature & Education,Maharashtra,,1967
"Cherian, TaraTara Cherian",Social Work,Tamil Nadu,,1967
"Chopra, Mulk RajMulk Raj Chopra",Civil Service,Uttarakhand,,1967
"Das, TulsiTulsi Das",Medicine,Punjab,,1967
"Handique, Krishna KantaKrishna Kanta Handique",Literature & Education,Assam,,1967
"Jain, Akshy KumarAkshy Kumar Jain",Literature & Education,Delhi,,1967
"Jayakar, PupulPupul Jayakar",Social Work,Delhi,,1967
"Khan, Ali AkbarAli Akbar Khan",Arts,West Bengal,,1967
"Kohli, D. P.D. P. Kohli",Civil Service,Punjab,,1967
"Krishnan, RamanathanRamanathan Krishnan",Sports,Tamil Nadu,,1967
"Lakshmanan, C. KottiethC. Kottieth Lakshmanan",Medicine,Tamil Nadu,,1967
"Mahadevan, T. M. PonnambalamT. M. Ponnambalam Mahadevan",Literature & Education,Tamil Nadu,,1967
"Mehta, Kalyanji VithalbhaiKalyanji Vithalbhai Mehta",Literature & Education,Gujarat,,1967
"Padmavati, S. I.S. I. Padmavati",Medicine,Delhi,,1967
"Patil, Vasantrao BandujiVasantrao Banduji Patil",Trade & Industry,Maharashtra,,1967
"Pavate, D. C.D. C. Pavate",Literature & Education,Karnataka,,1967
"Potdar, Datto VamanDatto Vaman Potdar",Literature & Education,Maharashtra,,1967
"Rao, B. ShivaB. Shiva Rao",Literature & Education,Delhi,,1967
"Saiyidain, Khwaja GhulamKhwaja Ghulam Saiyidain",Literature & Education,Uttar Pradesh,,1967
"Sarkar, Ashoke KumarAshoke Kumar Sarkar",Literature & Education,West Bengal,,1967
"Sen, MihirMihir Sen",Sports,West Bengal,,1967
"Shankar, RaviRavi Shankar",Arts,Uttar Pradesh,,1967
"Shroff, Kaikhushru Ruttonji P.Kaikhushru Ruttonji P. Shroff",Public Affairs,Maharashtra,,1967
"Vasanthakumari, M. L.M. L. Vasanthakumari",Arts,Andhra Pradesh,,1967
Recipient,Field,State,,
"Bandhu, Acharya VishvaAcharya Vishva Bandhu",Literature & Education,Uttar Pradesh,,1968
"Bhatnagar, Prabhu LalPrabhu Lal Bhatnagar",Science & Engineering,Karnataka,,1968
"Jadhav, Mary ClubwalaMary Clubwala Jadhav",Social Work,Maharashtra,,1968
"Karanth, K. ShivaramK. Shivaram Karanth",Literature & Education,Karnataka,,1968
"Khan, BismillahBismillah Khan",Arts,Uttar Pradesh,,1968
"Khandekar, Vishnu SakharamVishnu Sakharam Khandekar",Literature & Education,Maharashtra,,1968
"Kurup, G. SankaraG. Sankara Kurup",Literature & Education,Kerala,,1968
"Manekshaw, SamSam Manekshaw",Civil Service,Maharashtra,,1968
"Master, Mansukhlal AtmaramMansukhlal Atmaram Master",Public Affairs,Maharashtra,,1968
"Menon, M. G. K.M. G. K. Menon",Medicine,Delhi,,1968
"Metre, Waman BapujiWaman Bapuji Metre",Science & Engineering,Maharashtra,,1968
"Modi, GujarmalGujarmal Modi",Trade & Industry,Uttar Pradesh,,1968
"Modi, Murugappa ChannaveerappaMurugappa Channaveerappa Modi",Medicine,Karnataka,,1968
"Narasimhan, GopalanGopalan Narasimhan",Literature & Education,Tamil Nadu,,1968
"Pal, Benjamin PearyBenjamin Peary Pal",Science & Engineering,Punjab,,1968
"Prakash, BrahmBrahm Prakash",Science & Engineering,Punjab,,1968
"Rao, C. R.C. R. Rao",Science & Engineering,Delhi,,1968
"Rath, RadhanathRadhanath Rath",Literature & Education,Odisha,,1968
"Rau, Manikonda ChalapathiManikonda Chalapathi Rau",Literature & Education,Andhra Pradesh,,1968
"Ray, Jyotish ChandraJyotish Chandra Ray",Medicine,West Bengal,,1968
"Ruthnaswamy, MariadasMariadas Ruthnaswamy",Literature & Education,Tamil Nadu,,1968
"Sahay, RaghupatiRaghupati Sahay",Literature & Education,Uttar Pradesh,,1968
"Satwalekar, Shripad DamodarShripad Damodar Satwalekar",Literature & Education,Maharashtra,,1968
"Sengupta, Sudhir RanjanSudhir Ranjan Sengupta",Literature & Education,West Bengal,,1968
