Year,Name,Field,State,Country
2000,Dr. Dilip Devidas Bhawalkar,Science & Engineering,Madhya Pradesh,India
2000,Dr. Gurdev Singh Khush,Science & Engineering,,Philippines
2000,Dr. Gurumukh Sajanmal Sainani,Medicine,Maharashtra,India
2000,Dr. Hanumappa Sudarshan,Social Work,Karnataka,India
2000,Dr. Immaneni Sathyamurthy,Medicine,Tamil Nadu,India
2000,Dr. Kirpal Singh Chugh,Medicine,Chandigarh,India
2000,Dr. Mahendra Bhandari,Medicine,Rajasthan,India
2000,Dr. Mandan Mishra,Literature & Education,Delhi,India
2000,Dr. Mathew Samuel Kalarickal,Medicine,Tamil Nadu,India
2000,Dr. Parasu Ram Mishra,Science & Engineering,Jharkhand,India
2000,Dr. Pradeep Kumar Dave,Medicine,Uttar Pradesh,India
2000,Dr. Ramanand Sagar,Arts,Maharashtra,India
2000,Dr. Vijay Pandurang Bhatkar,Science & Engineering,Maharashtra,India
2000,Dr. Vipin Buckshey,Medicine,Delhi,India
2000,Neidonuo Angami,Social Work,Nagaland,India
2000,Prof. Grigoriy Lvovitch Bondarevsky,Literature & Education,,Russia
2000,Prof. Kakarla Subba Rao,Medicine,Andhra Pradesh,India
2000,Abdur Rahman Rahi,Literature & Education,Jammu and Kashmir,India
2000,Allah Rakha Rahman,Arts,Tamil Nadu,India
2000,Aloysius Prakash Fernandez,Others,Karnataka,India
2000,Alyque Padamsee,Arts,Maharashtra,India
2000,Dina Nath Malhotra,Others,Delhi,India
2000,Elangbam Nilakanta Singh,Literature & Education,Manipur,India
2000,Enuga Sreenivasulu Reddy,Public Affairs,,United States
2000,Gopalasamy Govindarajan,Science & Engineering,Maharashtra,India
2000,Jagan Nath Kaul,Social Work,Haryana,India
2000,Kalika Prasad Saxena,Literature & Education,Uttar Pradesh,India
2000,Kanhai Chitrakar,Arts,Uttar Pradesh,India
2000,Nagavara Ramarao Narayana Murthy,Trade & Industry,Karnataka,India
2000,Pahlira Sena Chawngthu,Literature & Education,Mizoram,India
2000,Rabindra Nath Upadhyay,Social Work,Assam,India
2000,Satya Narayan Gourisaria,Public Affairs,,United Kingdom
2000,Shekhar Kapur,Arts,Maharashtra,India
