Name,Field,State,Country,Year
S. R. Janakiraman,Art-Carnatic Vocal Music,Tamil Nadu,India,2011
Peruvanam Kuttan Marar,Art-Chenda Melam-Drum concert,Kerala,India,2011
Kalamandalam Kshemavathy,Art-Dance-Mohiniattam,Kerala,India,2011
Dadi Dorab Pudumjee,Art-Puppetry,Delhi,India,2011
Khangembam Mangi Singh,Art-Traditional Music of Manipur (Pena),Manipur,India,2011
Prahlad Singh Tipaniya,Art-Folk Music,Madhya Pradesh,India,2011
Usha Uthup,Art-Music,West Bengal,India,2011
Kajol,Art-Cinema,Maharashtra,India,2011
Irrfan Khan,Art-Cinema,Maharashtra,India,2011
Mamraj Agrawal,Social work,West Bengal,India,2011
Jockin Arputham,Social work,Maharashtra,India,2011
Nomita Chandy,Social work,Karnataka,India,2011
Sheela Patel,Social work,Maharashtra,India,2011
Anita Reddy,Social work,Karnataka,India,2011
Kanubhai Hasmukhbhai Tailor,Social work,Gujarat,India,2011
Anant Darshan Shankar,Public Affairs,Karnataka,India,2011
M. Annamalai,Science and Engineering,Karnataka,India,2011
Mahesh Haribhai Mehta,Science and Engineering-Agricultural Science,Gujarat,India,2011
Coimbatore Narayana Rao Raghavendran,Science and Engineering,Tamil Nadu,India,2011
Suman Sahai,Science and Engineering,Delhi,India,2011
E. A. Siddiq,Science and Engineering-Agricultural Science,Andhra Pradesh,India,2011
Gopalan Nair Shankar,Science and Engineering-Architecture,Kerala,India,2011
Mecca Rafeeque Ahmed,Trade and Industry,Tamil Nadu,India,2011
Kailasam Raghavendra Rao,Trade and Industry,Tamil Nadu,India,2011
Narayan Singh Bhati,Civil Services,Andhra Pradesh,India,2011
P. K. Sen,Civil Services,Bihar,India,2011
Shital Mahajan,Sports-Adventure Sports-Para Jumping,Maharashtra,India,2011
Nameirakpam Kunjarani Devi,Sports-Weightlifting,Manipur,India,2011
Sushil Kumar,Sports-Wrestling,Delhi,India,2011
Vangipurapu Venkata Sai Laxman,Sports-Cricket,Andhra Pradesh,India,2011
Gagan Narang,Sports-Shooting,Andhra Pradesh,India,2011
Krishna Poonia,Sports-Discus Throw,Rajasthan,India,2011
Harbhajan Singh,Sports-Mountaineering,Punjab,India,2011
Pukhraj Bafna,Medicine-Padeatrics,Chhattisgarh,India,2011
Mansoor Hasan,Medicine-Cardiology,Uttar Pradesh,India,2011
Shyama Prasad Mandal,Medicine-Orthopaedic,Delhi,India,2011
Sivapatham Vittal,Medicine-Endocrinology,Tamil Nadu,India,2011
Madanur Ahmed Ali,Medicine-Gastroenterology,Tamil Nadu,India,2011
Indira Hinduja,Medicine - Obstetrics and Gynaecology,Maharashtra,India,2011
Jose Chacko Periappuram,Medicine-Cardio-Thoracic Surgery,Kerala,India,2011
A. Marthanda Pillai,Medicine-Neurosurgery,Kerala,India,2011
Mahim Bora,Literature and Education,Assam,India,2011
Pullella Srirama Chandrudu,Literature and Education-Sanskrit,Andhra Pradesh,India,2011
Pravin Darji,Literature and Education,Gujarat,India,2011
Chandra Prakash Deval,Literature and Education,Rajasthan,India,2011
Balraj Komal,Literature and Education,Delhi,India,2011
Rajni Kumar,Literature and Education,Delhi,India,2011
Devanur Mahadeva,Literature and Education,Karnataka,India,2011
Barun Mazumder,Literature and Education,West Bengal,India,2011
Avvai Natarajan,Literature and Education,Tamil Nadu,India,2011
Bhalchandra Nemade,Literature and Education,Himachal Pradesh,India,2011
Riyaz Punjabi,Literature and Education,Jammu and Kashmir,India,2011
Koneru Ramakrishna Rao,Literature and Education,Andhra Pradesh,India,2011
Buangi Sailo,Literature and Education,Mizoram,India,2011
Devi Dutt Sharma,Literature and Education,Uttarakhand,India,2011
Nilamber Dev Sharma,Literature and Education,Jammu and Kashmir,India,2011
Urvashi Butalia and Ritu Menonâ€ ,Literature and Education,Delhi,India,2011
Krishna Kumar,Literature and Education,Delhi,India,2011
Deviprasad Dwivedi,Literature and Education,Uttar Pradesh,India,2011
Mamang Dai,Literature and Education,Arunachal Pradesh,India,2011
Om Prakash Agrawal,Others-Heritage Conservation,Uttar Pradesh,India,2011
Madhukar Keshav Dhavalikar,Others-Archeology,Maharashtra,India,2011
Shanti Teresa Lakra,Others-Nursing,Andaman & Nicobar,India,2011
Gulshan Nanda,Others-Handicrafts promotion,Delhi,India,2011
Azad Moopen,Social work,,United Arab Emirates*,2011
Upendra Baxi,Public Affairs-Legal Affairs,,United Kingdom*,2011
Mani Lal Bhaumik,Science and Engineering,,United States*,2011
Subra Suresh,Science and Engineering,,United States*,2011
Karl Harrington Potter,Literature and Education,,United States*,2011
Martha Chen,Social work,,United States*,2011
Satpal Khattar,Trade and Industry,,Singapore*,2011
Granville Austin,Literature and Education,,United States*,2011
Name,Field,State,Country,
Vanraj Bhatia,Art - Music,Maharashtra,India,2012
Zia Fariduddin Dagar,Art - Music - vocal,Rajasthan,India,2012
Nameirakpam Ibemni Devi,Art - Music- Khongjom Parba,Manipur,India,2012
Ramachandra Subraya Hegde Chittani,Art - Yakshagana dance drama,Karnataka,India,2012
Moti Lal Kemmu,Art - Playwright,Jammu and Kashmir,India,2012
Shahid Parvez Khan,Art - Instrumental Music-Sitar,Maharashtra,India,2012
Mohan Lal Kumhar,Art - Terracotta,Rajasthan,India,2012
Sakar Khan Manganiar,Art - Rajasthani Folk Music,Rajasthan,India,2012
Joy Michael,Art - Theatre,Delhi,India,2012
Minati Mishra,Art - Indian Classical Dance-Odissi.,Orissa,India,2012
Natesan Muthuswamy,Art - Theatre.,Tamil Nadu,India,2012
R. Nagarathnamma,Art - Theatre,Karnataka,India,2012
Kalamandalam Sivan Namboodiri,Art - Indian Classical Dance- Kutiyattam,Kerala,India,2012
Yamunabai Waikar,Art - Indian Folk Music-Lavani.,Maharashtra,India,2012
Satish Alekar,Art - Playwright,Maharashtra,India,2012
Pandit Gopal Prasad Dubey,Art - Chhau dance and choreography,Jharkhand,India,2012
Ramakant Gundecha and Umakant Gundechaâ€ ,Art - Indian Classical Music- Vocal,Madhya Pradesh,India,2012
Anup Jalota,Art-Indian Classical Music- Vocal,Maharashtra,India,2012
Soman Nair(Priyadarsan),Art - Cinema- Direction,Kerala,India,2012
Sunil Janah,Art-Photography,Assam,India,2012
Laila Tyabji,Art-Handicrafts,Delhi,India,2012
Vijay Sharma,Art-Painting,Himachal Pradesh,India,2012
Shamshad Begum,Social Work,Chhattisgarh,India,2012
Reeta Devi,Social Work,Delhi,India,2012
